
Récapitulatif de mes puissances atteintes en W

Date et heure de relève par le distributeur;Puissance atteinte (W);Nature de la donnée
11:00:00;180;Réelle
10:30:00;42;Réelle
10:00:00;56;Réelle
09:30:00;48;Réelle
09:00:00;54;Réelle
08:30:00;50;Réelle
08:00:00;62;Réelle
07:30:00;44;Réelle
07:00:00;78;Réelle
06:30:00;36;Réelle
06:00:00;92;Réelle
05:30:00;88;Réelle
05:00:00;82;Réelle
04:30:00;180;Réelle
04:00:00;86;Réelle
03:30:00;76;Réelle
03:00:00;72;Réelle
02:30:00;74;Réelle
02:00:00;78;Réelle
01:30:00;88;Réelle
01:00:00;684;Réelle
00:30:00;1052;Réelle

15/12/2023;;
00:00:00;144;Réelle
23:30:00;60;Réelle
23:00:00;258;Réelle
22:30:00;1550;Réelle
22:00:00;764;Réelle
21:30:00;88;Réelle
21:00:00;32;Réelle
20:30:00;72;Réelle
20:00:00;30;Réelle
19:30:00;86;Réelle
19:00:00;126;Réelle
18:30:00;194;Réelle
18:00:00;120;Réelle
17:30:00;214;Réelle
17:00:00;98;Réelle
16:30:00;74;Réelle
16:00:00;88;Réelle
15:30:00;84;Réelle
15:00:00;94;Réelle
14:30:00;84;Réelle
14:00:00;108;Réelle
13:30:00;86;Réelle
13:00:00;116;Réelle
12:30:00;620;Réelle
12:00:00;1462;Réelle
11:30:00;1530;Réelle
11:00:00;1790;Réelle
10:30:00;484;Réelle
10:00:00;90;Réelle
09:30:00;68;Réelle
09:00:00;52;Réelle
08:30:00;56;Réelle
08:00:00;46;Réelle
07:30:00;68;Réelle
07:00:00;46;Réelle
06:30:00;78;Réelle
06:00:00;46;Réelle
05:30:00;76;Réelle
05:00:00;134;Réelle
04:30:00;128;Réelle
04:00:00;80;Réelle
03:30:00;68;Réelle
03:00:00;52;Réelle
02:30:00;80;Réelle
02:00:00;92;Réelle
01:30:00;116;Réelle
01:00:00;84;Réelle
00:30:00;104;Réelle

14/12/2023;;
00:00:00;36;Réelle
23:30:00;46;Réelle
23:00:00;32;Réelle
22:30:00;46;Réelle
22:00:00;34;Réelle
21:30:00;46;Réelle
21:00:00;32;Réelle
20:30:00;46;Réelle
20:00:00;34;Réelle
19:30:00;44;Réelle
19:00:00;34;Réelle
18:30:00;60;Réelle
18:00:00;132;Réelle
17:30:00;168;Réelle
17:00:00;62;Réelle
16:30:00;56;Réelle
16:00:00;54;Réelle
15:30:00;60;Réelle
15:00:00;132;Réelle
14:30:00;112;Réelle
14:00:00;94;Réelle
13:30:00;612;Réelle
13:00:00;96;Réelle
12:30:00;62;Réelle
12:00:00;88;Réelle
11:30:00;50;Réelle
11:00:00;76;Réelle
10:30:00;62;Réelle
10:00:00;86;Réelle
09:30:00;50;Réelle
09:00:00;76;Réelle
08:30:00;54;Réelle
08:00:00;80;Réelle
07:30:00;54;Réelle
07:00:00;74;Réelle
06:30:00;56;Réelle
06:00:00;74;Réelle
05:30:00;60;Réelle
05:00:00;90;Réelle
04:30:00;64;Réelle
04:00:00;100;Réelle
03:30:00;154;Réelle
03:00:00;182;Réelle
02:30:00;160;Réelle
02:00:00;326;Réelle
01:30:00;388;Réelle
01:00:00;400;Réelle
00:30:00;838;Réelle

13/12/2023;;
00:00:00;1190;Réelle
23:30:00;196;Réelle
23:00:00;196;Réelle
22:30:00;628;Réelle
22:00:00;250;Réelle
21:30:00;316;Réelle
21:00:00;162;Réelle
20:30:00;130;Réelle
20:00:00;32;Réelle
19:30:00;50;Réelle
19:00:00;26;Réelle
18:30:00;56;Réelle
18:00:00;22;Réelle
17:30:00;152;Réelle
17:00:00;154;Réelle
16:30:00;184;Réelle
16:00:00;208;Réelle
15:30:00;158;Réelle
15:00:00;164;Réelle
14:30:00;60;Réelle
14:00:00;94;Réelle
13:30:00;58;Réelle
13:00:00;66;Réelle
12:30:00;26;Réelle
12:00:00;52;Réelle
11:30:00;38;Réelle
11:00:00;42;Réelle
10:30:00;56;Réelle
10:00:00;110;Réelle
09:30:00;100;Réelle
09:00:00;64;Réelle
08:30:00;38;Réelle
08:00:00;46;Réelle
07:30:00;50;Réelle
07:00:00;52;Réelle
06:30:00;32;Réelle
06:00:00;52;Réelle
05:30:00;32;Réelle
05:00:00;52;Réelle
04:30:00;30;Réelle
04:00:00;70;Réelle
03:30:00;50;Réelle
03:00:00;74;Réelle
02:30:00;36;Réelle
02:00:00;68;Réelle
01:30:00;36;Réelle
01:00:00;74;Réelle
00:30:00;64;Réelle

12/12/2023;;
00:00:00;110;Réelle
23:30:00;86;Réelle
23:00:00;94;Réelle
22:30:00;192;Réelle
22:00:00;104;Réelle
21:30:00;62;Réelle
21:00:00;78;Réelle
20:30:00;68;Réelle
20:00:00;64;Réelle
19:30:00;156;Réelle
19:00:00;52;Réelle
18:30:00;42;Réelle
